iter	Passed	Remaining
403	7973	11763
404	7992	11742
405	8012	11723
406	8030	11700
407	8049	11680
408	8067	11658
409	8086	11636
410	8105	11615
411	8125	11596
412	8145	11577
413	8164	11555
414	8182	11534
415	8201	11513
416	8220	11492
417	8239	11472
418	8259	11452
419	8278	11431
420	8296	11410
421	8315	11389
422	8334	11369
423	8353	11347
424	8372	11328
425	8390	11305
426	8409	11285
427	8428	11264
428	8445	11241
429	8465	11221
430	8484	11201
431	8503	11180
432	8520	11157
433	8542	11141
434	8560	11119
435	8580	11099
436	8598	11078
437	8615	11054
438	8634	11033
439	8653	11013
440	8671	10991
441	8689	10969
442	8709	10950
443	8728	10929
444	8747	10909
445	8766	10889
446	8786	10870
447	8805	10849
448	8824	10829
449	8842	10807
450	8859	10785
451	8878	10764
452	8899	10746
453	8916	10723
454	8935	10703
455	8954	10682
456	8973	10661
457	8992	10641
458	9010	10620
459	9029	10599
460	9048	10579
461	9067	10558
462	9085	10537
463	9104	10517
464	9124	10497
465	9141	10475
466	9160	10455
467	9178	10433
468	9195	10411
469	9214	10391
470	9234	10371
471	9253	10351
472	9271	10330
473	9292	10311
474	9307	10287
475	9328	10269
476	9358	10260
477	9385	10249
478	9408	10233
479	9427	10212
480	9445	10191
481	9463	10170
482	9484	10151
483	9503	10131
484	9523	10112
485	9544	10094
486	9565	10075
487	9585	10057
488	9603	10036
489	9624	10016
490	9645	9999
491	9662	9977
492	9679	9954
493	9695	9930
494	9710	9907
495	9727	9884
496	9746	9864
497	9765	9843
498	9784	9823
499	9803	9803
500	9820	9781
501	9837	9759
502	9855	9738
503	9874	9717
504	9893	9697
505	9913	9678
506	9931	9657
507	9950	9637
508	9968	9616
509	9988	9596
510	10008	9577
511	10026	9556
512	10044	9535
513	10062	9514
514	10081	9493
515	10100	9474
516	10118	9453
517	10136	9432
518	10156	9413
519	10174	9391
520	10194	9372
521	10214	9353
522	10233	9333
523	10252	9313
524	10270	9292
525	10289	9271
526	10307	9251
527	10325	9230
528	10344	9210
529	10364	9191
530	10383	9170
531	10402	9150
532	10419	9129
533	10440	9111
534	10458	9090
535	10477	9069
536	10496	9049
537	10512	9027
538	10531	9007
539	10551	8988
540	10566	8964
541	10585	8944
542	10604	8924
543	10621	8903
544	10638	8881
545	10656	8861
546	10671	8837
547	10689	8816
548	10703	8793
549	10723	8773
550	10740	8752
551	10758	8731
552	10776	8711
553	10793	8689
554	10811	8668
555	10830	8648
556	10850	8629
557	10869	8610
558	10885	8587
559	10902	8566
560	10917	8542
561	10935	8522
562	10953	8501
563	10972	8482
564	10992	8463
565	11009	8442
566	11027	8421
567	11047	8401
568	11066	8382
569	11087	8364
570	11107	8345
571	11123	8323
